Number of frames: 1000
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
1,,,,,,,,,-0.123764694, 0.723624110, 0.585890532,-0.343194842,-205.100051880,-162.882003784,-2008.200683594, 0.059584204, 0.039817076, 0.069126621, 0.996540129, 0.023319796,-348.083618164,-401.717132568,-1985.588867188, 0.168116763,
2,,,,,,,,,-0.123954028, 0.723635912, 0.585914671,-0.343060553,-205.102188110,-162.880950928,-2008.205200195, 0.057996105, 0.039712153, 0.069162272, 0.996543705, 0.023242470,-348.083770752,-401.716583252,-1985.589599609, 0.168137565,
3,,,,,,,,,-0.123979434, 0.723589480, 0.585912347,-0.343153149,-205.102188110,-162.882202148,-2008.211791992, 0.058265317, 0.039445065, 0.069161870, 0.996550918, 0.023388451,-348.083618164,-401.716796875,-1985.592773438, 0.168847710,
4,,,,,,,,,-0.123863347, 0.723645806, 0.585873485,-0.343142658,-205.102905273,-162.881546021,-2008.215942383, 0.059386328, 0.039447967, 0.069120362, 0.996553719, 0.023384925,-348.082031250,-401.715576172,-1985.589721680, 0.169422194,
5,,,,,,,,,-0.123979837, 0.723705053, 0.585931897,-0.342875719,-205.104263306,-162.882202148,-2008.212890625, 0.058968667, 0.039602499, 0.069139585, 0.996547520, 0.023331393,-348.083740234,-401.716430664,-1985.589233398, 0.169322371,
6,,,,,,,,,-0.123970076, 0.723707736, 0.585919499,-0.342894882,-205.103271484,-162.880203247,-2008.206054688, 0.058840998, 0.039819546, 0.069125377, 0.996542394, 0.023225129,-348.084747314,-401.716278076,-1985.591552734, 0.169139773,
7,,,,,,,,,-0.124015868, 0.723698735, 0.585936010,-0.342869014,-205.102737427,-162.881759644,-2008.204223633, 0.058219988, 0.039730772, 0.069147155, 0.996542752, 0.023294391,-348.086700439,-401.716918945,-1985.593139648, 0.168788001,
8,,,,,,,,,-0.124009944, 0.723686397, 0.585923672,-0.342918307,-205.101745605,-162.882904053,-2008.203491211, 0.058366045, 0.039646398, 0.069170944, 0.996541381, 0.023426682,-348.086822510,-401.717468262,-1985.593139648, 0.168338463,
9,,,,,,,,,-0.124099396, 0.723711610, 0.585920870,-0.342837542,-205.101608276,-162.882736206,-2008.201049805, 0.057752009, 0.039649196, 0.069161966, 0.996541560, 0.023442198,-348.085968018,-401.717468262,-1985.593383789, 0.167437211,
10,,,,,,,,,-0.124166697, 0.723730803, 0.585914075,-0.342784286,-205.102874756,-162.884063721,-2008.203979492, 0.056949209, 0.039769553, 0.069176137, 0.996537924, 0.023349602,-348.087005615,-401.717803955,-1985.592529297, 0.167378023,
11,,,,,,,,,-0.124095872, 0.723673463, 0.585872471,-0.343001932,-205.101181030,-162.882278442,-2008.206542969, 0.057687923, 0.039735917, 0.069121934, 0.996544600, 0.023282103,-348.085906982,-401.716918945,-1985.592773438, 0.168150157,
12,,,,,,,,,-0.123994514, 0.723678410, 0.585902095,-0.342977673,-205.100982666,-162.883163452,-2008.209838867, 0.057985272, 0.039562672, 0.069100812, 0.996551931, 0.023325620,-348.085571289,-401.717712402,-1985.594848633, 0.169105351,
13,,,,,,,,,-0.123999193, 0.723668039, 0.585909367,-0.342985421,-205.101333618,-162.884292603,-2008.207519531, 0.058622953, 0.039776895, 0.069124609, 0.996542275, 0.023302995,-348.084777832,-401.719024658,-1985.594726563, 0.168851808,
14,,,,,,,,,-0.124030508, 0.723656595, 0.585878670,-0.343050659,-205.101974487,-162.885208130,-2008.209594727, 0.059249386, 0.039847136, 0.069176398, 0.996529162, 0.023589183,-348.084503174,-401.719665527,-1985.595581055, 0.166715056,
15,,,,,,,,,-0.124168567, 0.723673582, 0.585895240,-0.342936516,-205.100418091,-162.883132935,-2008.206054688, 0.057647359, 0.039870046, 0.069177754, 0.996527851, 0.023602968,-348.084686279,-401.720428467,-1985.597778320, 0.166503608,
16,,,,,,,,,-0.124033898, 0.723678529, 0.585897028,-0.342971832,-205.098815918,-162.883865356,-2008.207397461, 0.057970617, 0.039785784, 0.069158867, 0.996537089, 0.023409884,-348.082305908,-401.720062256,-1985.596801758, 0.167990059,
17,,,,,,,,,-0.124086455, 0.723659873, 0.585890830,-0.343002766,-205.100357056,-162.882980347,-2008.207275391, 0.058563679, 0.039593153, 0.069179215, 0.996540189, 0.023542171,-348.083984375,-401.719696045,-1985.598510742, 0.167354330,
18,,,,,,,,,-0.124111615, 0.723670661, 0.585891545,-0.342969626,-205.099777222,-162.883911133,-2008.208007813, 0.058870737, 0.039584011, 0.069186620, 0.996534407, 0.023779672,-348.082946777,-401.720031738,-1985.596923828, 0.167096525,
19,,,,,,,,,-0.124060176, 0.723608971, 0.585886478,-0.343127012,-205.102416992,-162.884201050,-2008.211303711, 0.059717841, 0.039798573, 0.069136821, 0.996536374, 0.023483355,-348.082275391,-401.719665527,-1985.597045898, 0.167518958,
20,,,,,,,,,-0.124082156, 0.723651111, 0.585923016,-0.342967838,-205.099609375,-162.883773804,-2008.216918945, 0.058065262, 0.039819904, 0.069181666, 0.996535301, 0.023359448,-348.084136963,-401.720703125,-1985.602050781, 0.166855097,
21,,,,,,,,,-0.124008991, 0.723646581, 0.585883200,-0.343071818,-205.100631714,-162.883926392,-2008.214599609, 0.058358509, 0.039620113, 0.069222964, 0.996533096, 0.023669213,-348.085479736,-401.720092773,-1985.603637695, 0.166595012,
22,,,,,,,,,-0.124127522, 0.723657608, 0.585872829,-0.343023449,-205.100524902,-162.885101318,-2008.215332031, 0.058609411, 0.039769877, 0.069172889, 0.996530473, 0.023674678,-348.086975098,-401.720123291,-1985.601806641, 0.166649863,
23,,,,,,,,,-0.124175489, 0.723670065, 0.585859776,-0.343002081,-205.098159790,-162.884719849,-2008.212402344, 0.058789928, 0.039600983, 0.069134273, 0.996547103, 0.023369735,-348.086059570,-401.719604492,-1985.600585938, 0.168259278,
24,,,,,,,,,-0.124099366, 0.723755360, 0.585933268,-0.342724055,-205.098114014,-162.884170532,-2008.211059570, 0.056966770, 0.039560627, 0.069125921, 0.996552646, 0.023224434,-348.084259033,-401.718688965,-1985.599853516, 0.168892518,
25,,,,,,,,,-0.123957843, 0.723692000, 0.585936666,-0.342903078,-205.098464966,-162.883438110,-2008.208862305, 0.058171056, 0.039873943, 0.069160774, 0.996534228, 0.023373973,-348.084472656,-401.718994141,-1985.600585938, 0.167423293,
26,,,,,,,,,-0.124071278, 0.723663151, 0.585874140,-0.343029797,-205.099151611,-162.882476807,-2008.210327148, 0.058195289, 0.039922770, 0.069161646, 0.996532381, 0.023366703,-348.084747314,-401.718444824,-1985.604370117, 0.167229205,
27,,,,,,,,,-0.124130651, 0.723690808, 0.585903049,-0.342900634,-205.102111816,-162.882705688,-2008.218383789, 0.056887630, 0.039968081, 0.069113672, 0.996532261, 0.023436069,-348.083190918,-401.718963623,-1985.605834961, 0.167087272,
28,,,,,,,,,-0.124066994, 0.723608494, 0.585922658,-0.343063772,-205.102615356,-162.881195068,-2008.226562500, 0.058233090, 0.039960369, 0.069102995, 0.996532381, 0.023476617,-348.082885742,-401.718505859,-1985.608642578, 0.167208478,
29,,,,,,,,,-0.124071628, 0.723609746, 0.585909963,-0.343081117,-205.103271484,-162.883865356,-2008.230346680, 0.058392867, 0.039761934, 0.069149636, 0.996535003, 0.023564558,-348.082336426,-401.717742920,-1985.607666016, 0.167348832,
30,,,,,,,,,-0.124008462, 0.723695815, 0.585951149,-0.342851996,-205.104293823,-162.884445190,-2008.233276367, 0.056411307, 0.039595585, 0.069173500, 0.996542037, 0.023477359,-348.082824707,-401.718505859,-1985.606201172, 0.167168140,
31,,,,,,,,,-0.124006264, 0.723670065, 0.585939467,-0.342927128,-205.104858398,-162.884918213,-2008.229736328, 0.057814028, 0.039636478, 0.069166452, 0.996544361, 0.023330530,-348.081542969,-401.719055176,-1985.605590820, 0.167667255,
32,,,,,,,,,-0.123942688, 0.723632753, 0.585920572,-0.343061119,-205.103576660,-162.883697510,-2008.221191406, 0.059274357, 0.039711595, 0.069119982, 0.996543467, 0.023379432,-348.081146240,-401.719573975,-1985.603393555, 0.168020442,
33,,,,,,,,,-0.123917826, 0.723676264, 0.585919201,-0.342980713,-205.100982666,-162.882049561,-2008.212280273, 0.058041200, 0.039702125, 0.069091000, 0.996545851, 0.023378480,-348.078094482,-401.720245361,-1985.605224609, 0.167848423,
34,,,,,,,,,-0.123968124, 0.723731816, 0.585955143,-0.342783839,-205.102432251,-162.881134033,-2008.202148438, 0.057590321, 0.039823908, 0.069120727, 0.996537089, 0.023457576,-348.076873779,-401.720672607,-1985.607299805, 0.168441951,
35,,,,,,,,,-0.124050952, 0.723698914, 0.585968018,-0.342801303,-205.101852417,-162.877609253,-2008.201538086, 0.057522848, 0.039855849, 0.069087222, 0.996538401, 0.023444263,-348.074096680,-401.721038818,-1985.606323242, 0.168086201,
36,,,,,,,,,-0.123933434, 0.723709047, 0.585992217,-0.342781007,-205.106338501,-162.876083374,-2008.207153320, 0.057499085, 0.039620671, 0.069076709, 0.996547103, 0.023504734,-348.070007324,-401.721374512,-1985.605712891, 0.168475121,
37,,,,,,,,,-0.124149837, 0.723701417, 0.585999310,-0.342706621,-205.111724854,-162.873733521,-2008.209228516, 0.057546448, 0.039766900, 0.069064118, 0.996542335, 0.023495696,-348.067779541,-401.723052979,-1985.604125977, 0.167950734,
38,,,,,,,,,-0.124088675, 0.723654032, 0.585935712,-0.342937678,-205.113479614,-162.868225098,-2008.204833984, 0.058969855, 0.039926700, 0.069045112, 0.996536911, 0.023512749,-348.062713623,-401.723022461,-1985.603881836, 0.166874111,
39,,,,,,,,,-0.124005631, 0.723627090, 0.585902393,-0.343081445,-205.115585327,-162.864151001,-2008.195556641, 0.060080029, 0.039831512, 0.069090851, 0.996536016, 0.023576185,-348.059265137,-401.722717285,-1985.608032227, 0.166456878,
40,,,,,,,,,-0.124181986, 0.723564088, 0.585962176,-0.343048304,-205.115966797,-162.859313965,-2008.192016602, 0.058885798, 0.039711483, 0.069095626, 0.996543050, 0.023468347,-348.055694580,-401.723327637,-1985.612670898, 0.167873055,
41,,,,,,,,,-0.124260820, 0.723511696, 0.585988998,-0.343084484,-205.119750977,-162.857299805,-2008.201293945, 0.059510656, 0.039616138, 0.069031104, 0.996553302, 0.023382459,-348.050872803,-401.723419189,-1985.615844727, 0.169286311,
42,,,,,,,,,-0.124207102, 0.723567307, 0.585998058,-0.342971087,-205.123382568,-162.855270386,-2008.209960938, 0.058984935, 0.039641816, 0.069048934, 0.996545255, 0.023628840,-348.047882080,-401.723571777,-1985.620239258, 0.167417020,
43,,,,,,,,,-0.124239452, 0.723539829, 0.585943878,-0.343109965,-205.121688843,-162.851623535,-2008.207641602, 0.058495358, 0.039841268, 0.069038041, 0.996536911, 0.023677280,-348.042572021,-401.723144531,-1985.624511719, 0.166326344,
44,,,,,,,,,-0.124125063, 0.723535597, 0.585934758,-0.343175858,-205.121002197,-162.848007202,-2008.201171875, 0.058942217, 0.039750963, 0.068986684, 0.996544838, 0.023645246,-348.038604736,-401.722412109,-1985.627929688, 0.167685226,
45,,,,,,,,,-0.123993695, 0.723565161, 0.585960686,-0.343116820,-205.116226196,-162.842620850,-2008.185668945, 0.060294259, 0.039681863, 0.068994924, 0.996544123, 0.023765448,-348.033477783,-401.721374512,-1985.629028320, 0.167724222,
46,,,,,,,,,-0.124037027, 0.723600984, 0.586051702,-0.342869997,-205.112197876,-162.835479736,-2008.167968750, 0.059294160, 0.039657895, 0.069012403, 0.996545672, 0.023690224,-348.025634766,-401.720520020,-1985.635131836, 0.168225199,
47,,,,,,,,,-0.124127291, 0.723693669, 0.586119354,-0.342525840,-205.113006592,-162.823654175,-2008.152832031, 0.057418957, 0.039500136, 0.068926431, 0.996558666, 0.023659954,-348.015319824,-401.718200684,-1985.644897461, 0.168700814,
48,,,,,,,,,-0.124008253, 0.723681152, 0.586146593,-0.342548788,-205.114898682,-162.803588867,-2008.139038086, 0.057567477, 0.039706990, 0.068890885, 0.996549070, 0.023818143,-347.994445801,-401.714111328,-1985.654418945, 0.166585699,
49,,,,,,,,,-0.123997286, 0.723602891, 0.586173117,-0.342672825,-205.120223999,-162.772308350,-2008.124023438, 0.059156612, 0.039737079, 0.068806358, 0.996548593, 0.024032220,-347.964477539,-401.705749512,-1985.674438477, 0.166421622,
50,,,,,,,,,-0.124027543, 0.723553598, 0.586221278,-0.342683524,-205.124740601,-162.728454590,-2008.102783203, 0.059576437, 0.039812602, 0.068621337, 0.996556520, 0.024108220,-347.921752930,-401.693389893,-1985.696044922, 0.166106299,
51,,,,,,,,,-0.123935297, 0.723544657, 0.586386502,-0.342452973,-205.129180908,-162.670532227,-2008.046142578, 0.058732837, 0.039916225, 0.068509690, 0.996562898, 0.023990000,-347.865295410,-401.679626465,-1985.716308594, 0.166165113,
52,,,,,,,,,-0.124138169, 0.723552287, 0.586598039,-0.342000753,-205.135238647,-162.602951050,-2007.968627930, 0.057072993, 0.039772730, 0.068350866, 0.996576488, 0.024114979,-347.805572510,-401.665161133,-1985.739013672, 0.167055011,
53,,,,,,,,,-0.124133497, 0.723534584, 0.586811364,-0.341673821,-205.147613525,-162.529983521,-2007.894409180, 0.056593303, 0.039785560, 0.068132475, 0.996583045, 0.024439836,-347.744934082,-401.651428223,-1985.766113281, 0.167010114,
54,,,,,,,,,-0.124157481, 0.723405063, 0.586931407,-0.341733217,-205.169052124,-162.455566406,-2007.827148438, 0.057182971, 0.039834391, 0.067926556, 0.996594071, 0.024484141,-347.681640625,-401.635925293,-1985.796020508, 0.167074054,
55,,,,,,,,,-0.124331824, 0.723265290, 0.587056220,-0.341751158,-205.195495605,-162.379287720,-2007.786743164, 0.057430796, 0.040225372, 0.067656733, 0.996595263, 0.024542332,-347.614654541,-401.617980957,-1985.815917969, 0.167666122,
56,,,,,,,,,-0.124469131, 0.723116934, 0.587145329,-0.341862112,-205.226287842,-162.298370361,-2007.745727539, 0.058422662, 0.040522449, 0.067369618, 0.996598423, 0.024714954,-347.546386719,-401.596923828,-1985.835937500, 0.166659892,
57,,,,,,,,,-0.124658369, 0.722982168, 0.587294161,-0.341822535,-205.252532959,-162.205032349,-2007.684448242, 0.058778394, 0.040475849, 0.067103550, 0.996617138, 0.024761612,-347.473144531,-401.572937012,-1985.865356445, 0.166377559,
58,,,,,,,,,-0.124665514, 0.722954512, 0.587568998,-0.341405898,-205.269912720,-162.106536865,-2007.587402344, 0.057942864, 0.040613659, 0.066808946, 0.996623158, 0.025086459,-347.395874023,-401.559692383,-1985.901000977, 0.165573701,
59,,,,,,,,,-0.124555774, 0.722906530, 0.587800443,-0.341149032,-205.290176392,-162.064453125,-2007.473876953, 0.059167154, 0.040774398, 0.066666253, 0.996627092, 0.025049979,-347.359191895,-401.564178467,-1985.923339844, 0.165222496,
60,,,,,,,,,-0.124575272, 0.722774923, 0.587806702,-0.341409862,-205.340393066,-162.065399170,-2007.412353516, 0.058014318, 0.040711455, 0.066651814, 0.996636271, 0.024823170,-347.363861084,-401.568847656,-1985.932983398, 0.166116163,
