Number of frames: 100
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
1, 0.778482795,-0.422840089,-0.326602042,-0.329396307,-262.493560791,-299.377288818,-2012.139282227, 0.157918036,-0.125297248, 0.722847283, 0.586354554,-0.343483239,-207.369873047,-162.305465698,-2009.637207031, 0.056398746, 0.040609103, 0.069474727, 0.996488333, 0.023134222,-348.072479248,-401.628936768,-1985.559448242, 0.167717248,
2, 0.778526664,-0.422672927,-0.326676399,-0.329433441,-262.498626709,-299.385711670,-2012.131835938, 0.156425223,-0.125221476, 0.722763717, 0.586311579,-0.343760043,-207.374023438,-162.307220459,-2009.635498047, 0.057747699, 0.040676188, 0.069445431, 0.996487021, 0.023161830,-348.073699951,-401.629882813,-1985.556152344, 0.167834193,
3, 0.778637111,-0.422637969,-0.326631784,-0.329261422,-262.497711182,-299.378814697,-2012.144531250, 0.155420035,-0.125367105, 0.722828746, 0.586327910,-0.343542218,-207.380981445,-162.306350708,-2009.634155273, 0.055780903, 0.040619381, 0.069463365, 0.996486723, 0.023217002,-348.073181152,-401.629669189,-1985.553833008, 0.166661233,
4, 0.778737187,-0.422520757,-0.326536357,-0.329269826,-262.486267090,-299.381042480,-2012.131591797, 0.159706011,-0.125348955, 0.722781777, 0.586365879,-0.343582869,-207.388580322,-162.305389404,-2009.635742188, 0.056187388, 0.040630464, 0.069483131, 0.996482253, 0.023332480,-348.073120117,-401.628997803,-1985.555786133, 0.167111337,
5, 0.778785467,-0.422416568,-0.326443613,-0.329381227,-262.482482910,-299.383270264,-2012.124389648, 0.157590345,-0.125119969, 0.722761095, 0.586347699,-0.343740761,-207.397109985,-162.300018311,-2009.633422852, 0.057366502, 0.040511526, 0.069518052, 0.996480644, 0.023504179,-348.071289063,-401.628662109,-1985.557006836, 0.167218909,
6, 0.778810203,-0.422508627,-0.326307416,-0.329339653,-262.484191895,-299.380065918,-2012.141601563, 0.159955323,-0.125175163, 0.722784519, 0.586365819,-0.343640596,-207.407623291,-162.298583984,-2009.626708984, 0.057275221, 0.040674765, 0.069485724, 0.996482670, 0.023228901,-348.068389893,-401.629547119,-1985.555786133, 0.167521268,
7, 0.778799057,-0.422635525,-0.326190650,-0.329318821,-262.497558594,-299.379119873,-2012.144897461, 0.161861360,-0.125228330, 0.722762048, 0.586421311,-0.343573689,-207.417770386,-162.296188354,-2009.626464844, 0.055974506, 0.040576585, 0.069428541, 0.996492028, 0.023170341,-348.069915771,-401.629547119,-1985.556518555, 0.167710736,
8, 0.778733432,-0.422770023,-0.326062232,-0.329428613,-262.495178223,-299.381286621,-2012.131591797, 0.156353429,-0.125242025, 0.722675681, 0.586395979,-0.343793690,-207.423980713,-162.293395996,-2009.627075195, 0.057623647, 0.040607300, 0.069414593, 0.996492922, 0.023118939,-348.071258545,-401.630310059,-1985.556762695, 0.167720139,
9, 0.778565168,-0.422873259,-0.326070845,-0.329685211,-262.486755371,-299.378021240,-2012.128662109, 0.157359183,-0.125143021, 0.722620904, 0.586404502,-0.343930185,-207.430725098,-162.288299561,-2009.628295898, 0.058851387, 0.040670212, 0.069410481, 0.996494830, 0.022937622,-348.072540283,-401.628936768,-1985.548095703, 0.167573586,
10, 0.778399408,-0.422919989,-0.326229602,-0.329859436,-262.489776611,-299.379333496,-2012.132934570, 0.159288093,-0.125155628, 0.722629428, 0.586416841,-0.343886703,-207.438644409,-162.284866333,-2009.634277344, 0.058408447, 0.040563732, 0.069456138, 0.996490479, 0.023176281,-348.072265625,-401.628234863,-1985.546752930, 0.165497556,
