Number of frames: 100
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
1,-0.328493685, 0.776635826,-0.030687235, 0.536644220,-304.789825439,-299.919067383,-1930.906005859, 0.131608188,-0.124478586, 0.723446012, 0.586244702,-0.342707038,-207.151763916,-162.391845703,-2009.831909180, 0.056221791, 0.040232353, 0.069648176, 0.996495128, 0.022977337,-348.025787354,-401.629730225,-1985.575561523, 0.167103782,
2,-0.328525156, 0.776603222,-0.030671887, 0.536673009,-304.796234131,-299.914764404,-1930.914428711, 0.132068142,-0.124350272, 0.723485827, 0.586272180,-0.342622519,-207.152984619,-162.390090942,-2009.838500977, 0.056298900, 0.040115923, 0.069650576, 0.996496499, 0.023112705,-348.023895264,-401.629516602,-1985.575927734, 0.167202368,
3,-0.328416020, 0.776539862,-0.030630052, 0.536833823,-304.788421631,-299.920013428,-1930.897949219, 0.131015986,-0.124389887, 0.723481297, 0.586201966,-0.342737794,-207.149475098,-162.387756348,-2009.842285156, 0.057044830, 0.040015411, 0.069622055, 0.996503711, 0.023062246,-348.025482178,-401.631042480,-1985.580932617, 0.167396963,
4,-0.328060746, 0.776577830,-0.030320920, 0.537013650,-304.794067383,-299.917510986,-1930.909545898, 0.129029661,-0.124429606, 0.723429024, 0.586183846,-0.342864603,-207.148376465,-162.385803223,-2009.844238281, 0.058360804, 0.040041897, 0.069612570, 0.996505558, 0.022965070,-348.025939941,-401.631042480,-1985.581054688, 0.167902231,
5,-0.327642441, 0.776629925,-0.029882334, 0.537218213,-304.797576904,-299.911437988,-1930.920166016, 0.131022230,-0.124411672, 0.723414242, 0.586175144,-0.342917293,-207.151992798,-162.389343262,-2009.848144531, 0.059003320, 0.040052224, 0.069671616, 0.996495962, 0.023183307,-348.026519775,-401.631011963,-1985.581420898, 0.166668192,
6,-0.327496618, 0.776602566,-0.029749505, 0.537354052,-304.787414551,-299.911010742,-1930.902221680, 0.131082982,-0.124338597, 0.723445654, 0.586187661,-0.342856079,-207.153686523,-162.386917114,-2009.855712891, 0.057751924, 0.040144879, 0.069672771, 0.996493757, 0.023113787,-348.025695801,-401.630859375,-1985.584960938, 0.167171806,
7,-0.327604920, 0.776613891,-0.029823240, 0.537267566,-304.791748047,-299.909851074,-1930.910522461, 0.128731549,-0.124330774, 0.723458350, 0.586211562,-0.342791289,-207.153747559,-162.384521484,-2009.859252930, 0.058781724, 0.040113080, 0.069647536, 0.996501148, 0.022926698,-348.026428223,-401.630249023,-1985.590209961, 0.166898593,
8,-0.327826202, 0.776575863,-0.029971894, 0.537179291,-304.790832520,-299.914154053,-1930.908447266, 0.132352307,-0.124292910, 0.723426163, 0.586196065,-0.342899472,-207.154281616,-162.382980347,-2009.858520508, 0.058636822, 0.039948154, 0.069640703, 0.996508181, 0.022929458,-348.028289795,-401.630218506,-1985.589721680, 0.167655289,
9,-0.328016937, 0.776551306,-0.030038537, 0.537094712,-304.798217773,-299.914276123,-1930.927490234, 0.130676836,-0.124417275, 0.723411381, 0.586190999,-0.342894256,-207.158615112,-162.385070801,-2009.864135742, 0.058569521, 0.039921854, 0.069657788, 0.996503651, 0.023120513,-348.028686523,-401.629974365,-1985.585693359, 0.167680070,
10,-0.328283846, 0.776452720,-0.030188281, 0.537065744,-304.796173096,-299.914764404,-1930.917480469, 0.127559021,-0.124273613, 0.723423183, 0.586209238,-0.342890233,-207.164291382,-162.384704590,-2009.866699219, 0.059584282, 0.040174104, 0.069630183, 0.996498168, 0.023001835,-348.029663086,-401.630218506,-1985.587280273, 0.167520717,
