Number of frames: 100
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
1,-0.491917491, 0.629268527, 0.237337723, 0.552909672,-483.792419434,-316.451721191,-2054.655273438, 0.099549964,-0.124276809, 0.722586751, 0.586463451,-0.344215512,-207.505447388,-162.357879639,-2009.963989258, 0.057097483, 0.040183239, 0.069839031, 0.996475160, 0.023347519,-348.095672607,-401.654846191,-1985.677490234, 0.165797427,
2,-0.492108375, 0.629195154, 0.237246618, 0.552862465,-483.790466309,-316.454345703,-2054.657226563, 0.103003129,-0.124355502, 0.722568989, 0.586468935,-0.344214976,-207.504714966,-162.355865479,-2009.966186523, 0.057704285, 0.040434696, 0.069776423, 0.996470273, 0.023308771,-348.095520020,-401.654663086,-1985.676879883, 0.165819749,
3,-0.492245823, 0.629076719, 0.237263277, 0.552867651,-483.793670654,-316.450836182,-2054.664794922, 0.103108220,-0.124442145, 0.722565889, 0.586428702,-0.344258666,-207.504394531,-162.354415894,-2009.969360352, 0.058131542, 0.040302146, 0.069780320, 0.996478558, 0.023170378,-348.093383789,-401.653747559,-1985.673217773, 0.166578844,
4,-0.492488414, 0.628993750, 0.237128705, 0.552803755,-483.797180176,-316.449798584,-2054.668457031, 0.100241192,-0.124379694, 0.722621143, 0.586424768,-0.344172090,-207.501937866,-162.354064941,-2009.974121094, 0.058243714, 0.040025577, 0.069805518, 0.996486723, 0.023223612,-348.089996338,-401.653472900,-1985.668334961, 0.166537762,
5,-0.492646247, 0.628871262, 0.237050965, 0.552835882,-483.800231934,-316.450103760,-2054.667968750, 0.105774567,-0.124437518, 0.722675204, 0.586447001,-0.343999684,-207.502288818,-162.353515625,-2009.976074219, 0.057342924, 0.040056180, 0.069759957, 0.996491849, 0.023088414,-348.091247559,-401.652984619,-1985.667602539, 0.167007253,
6,-0.492790133, 0.628767252, 0.236953229, 0.552867830,-483.793975830,-316.451477051,-2054.659667969, 0.101641938,-0.124552950, 0.722686410, 0.586398304,-0.344017386,-207.499374390,-162.353683472,-2009.976562500, 0.055865157, 0.040273979, 0.069783717, 0.996477723, 0.023247886,-348.091033936,-401.652679443,-1985.669311523, 0.167083070,
7,-0.492865711, 0.628654957, 0.236939013, 0.552934229,-483.796905518,-316.448974609,-2054.659423828, 0.105137944,-0.124457777, 0.722624600, 0.586346328,-0.344270200,-207.498641968,-162.353546143,-2009.981201172, 0.056429349, 0.040307418, 0.069828309, 0.996472418, 0.023279835,-348.089660645,-401.652862549,-1985.670532227, 0.166831046,
8,-0.493000418, 0.628562093, 0.236826241, 0.552968025,-483.789337158,-316.452758789,-2054.647949219, 0.103776768,-0.124456957, 0.722646892, 0.586388648,-0.344151437,-207.498260498,-162.355453491,-2009.980957031, 0.056122575, 0.040323455, 0.069773018, 0.996483564, 0.022940572,-348.092712402,-401.653869629,-1985.675903320, 0.166390195,
9,-0.493151814, 0.628518820, 0.236755669, 0.552912414,-483.795532227,-316.449249268,-2054.672363281, 0.106327839,-0.124359250, 0.722603679, 0.586375237,-0.344300419,-207.495361328,-162.355163574,-2009.975708008, 0.058196269, 0.040423121, 0.069768831, 0.996481299, 0.022875629,-348.093170166,-401.654815674,-1985.677734375, 0.166912079,
10,-0.493390739, 0.628488183, 0.236571774, 0.552812815,-483.799865723,-316.446594238,-2054.677978516, 0.104052320,-0.124376260, 0.722621977, 0.586470962,-0.344092757,-207.496170044,-162.355819702,-2009.972412109, 0.056555416, 0.040192008, 0.069795802, 0.996484637, 0.023054568,-348.093963623,-401.653137207,-1985.676391602, 0.167511687,
11,-0.493611246, 0.628420174, 0.236357272, 0.552785039,-483.787780762,-316.452239990,-2054.662841797, 0.102232747,-0.124288686, 0.722645640, 0.586511910,-0.344004929,-207.494537354,-162.356460571,-2009.971923828, 0.055553213, 0.040059190, 0.069840565, 0.996484578, 0.023151375,-348.093963623,-401.654388428,-1985.677368164, 0.167242855,
12,-0.493756682, 0.628316045, 0.236287847, 0.552803159,-483.790557861,-316.453063965,-2054.649658203, 0.102514222,-0.124369800, 0.722621977, 0.586461663,-0.344110996,-207.494628906,-162.357971191,-2009.970947266, 0.056154545, 0.040304627, 0.069836244, 0.996475399, 0.023133695,-348.096313477,-401.655639648,-1985.681396484, 0.166770414,
13,-0.493809491, 0.628234625, 0.236371666, 0.552812696,-483.802886963,-316.449829102,-2054.664306641, 0.103076875,-0.124505870, 0.722663164, 0.586461008,-0.343976378,-207.493682861,-162.359146118,-2009.968627930, 0.055251207, 0.040362138, 0.069802143, 0.996476531, 0.023087414,-348.096099854,-401.656433105,-1985.678955078, 0.166317999,
14,-0.493899256, 0.628135264, 0.236307129, 0.552872956,-483.793548584,-316.454162598,-2054.645019531, 0.098818466,-0.124439150, 0.722648561, 0.586444497,-0.344059408,-207.491134644,-162.358566284,-2009.964965820, 0.057297617, 0.040192116, 0.069814973, 0.996480882, 0.023158608,-348.095550537,-401.657073975,-1985.676269531, 0.166740373,
15,-0.493906498, 0.628095746, 0.236328453, 0.552902341,-483.792541504,-316.455017090,-2054.657714844, 0.101014949,-0.124279939, 0.722607315, 0.586433053,-0.344222963,-207.488067627,-162.358444214,-2009.958740234, 0.058425549, 0.040527221, 0.069744267, 0.996478736, 0.022877436,-348.095764160,-401.656463623,-1985.678588867, 0.166113660,
16,-0.494021744, 0.628132284, 0.236220419, 0.552803993,-483.793060303,-316.453552246,-2054.667236328, 0.105380327,-0.124349393, 0.722638130, 0.586392522,-0.344202220,-207.483947754,-162.359832764,-2009.953002930, 0.057952933, 0.040437367, 0.069763422, 0.996478677, 0.022980180,-348.095916748,-401.658020020,-1985.680175781, 0.166850835,
17,-0.494153231, 0.628085911, 0.236061573, 0.552807033,-483.780242920,-316.461639404,-2054.635253906, 0.098235190,-0.124419592, 0.722684443, 0.586362660,-0.344130605,-207.479690552,-162.361495972,-2009.950927734, 0.058422804, 0.040182848, 0.069796667, 0.996477664, 0.023366474,-348.095550537,-401.658843994,-1985.682617188, 0.166441604,
18,-0.494174719, 0.628109097, 0.236051947, 0.552765608,-483.779510498,-316.464447021,-2054.648437500, 0.104248829,-0.124488756, 0.722698212, 0.586368561,-0.344066530,-207.475296021,-162.362503052,-2009.951049805, 0.057265755, 0.040169179, 0.069755852, 0.996485412, 0.023181047,-348.095733643,-401.657836914,-1985.685791016, 0.165836439,
19,-0.494146824, 0.628187120, 0.236095175, 0.552683353,-483.789031982,-316.456848145,-2054.669433594, 0.098776072,-0.124509282, 0.722689748, 0.586324692,-0.344151616,-207.471145630,-162.364776611,-2009.953002930, 0.057904664, 0.040447004, 0.069710918, 0.996480286, 0.023053998,-348.095123291,-401.656982422,-1985.683959961, 0.165736243,
20,-0.494084001, 0.628236651, 0.236113608, 0.552675366,-483.785949707,-316.460754395,-2054.666748047, 0.095721081,-0.124493293, 0.722724199, 0.586353660,-0.344035715,-207.467605591,-162.368194580,-2009.959106445, 0.056955937, 0.040513285, 0.069758579, 0.996469617, 0.023254242,-348.095458984,-401.656951904,-1985.682250977, 0.164778665,
21,-0.493894488, 0.628299773, 0.236248046, 0.552715540,-483.789245605,-316.460205078,-2054.680908203, 0.097302720,-0.124581337, 0.722729564, 0.586338878,-0.344017804,-207.462753296,-162.373687744,-2009.961669922, 0.055212494, 0.040336236, 0.069735207, 0.996483684, 0.023028009,-348.098114014,-401.657775879,-1985.681640625, 0.166258276,
22,-0.493671000, 0.628351688, 0.236380681, 0.552799463,-483.790679932,-316.459716797,-2054.685058594, 0.099130519,-0.124673009, 0.722680032, 0.586341441,-0.344084114,-207.459411621,-162.376846313,-2009.969360352, 0.056070123, 0.040527806, 0.069758676, 0.996477008, 0.022909377,-348.097259521,-401.657775879,-1985.681274414, 0.166180789,
23,-0.493567079, 0.628428161, 0.236294404, 0.552842200,-483.785583496,-316.460784912,-2054.669433594, 0.096471429,-0.124446556, 0.722697020, 0.586412191,-0.344009936,-207.455688477,-162.378768921,-2009.973754883, 0.056660406, 0.040370740, 0.069841959, 0.996474981, 0.023020150,-348.098236084,-401.656951904,-1985.680786133, 0.166292161,
24,-0.493469805, 0.628478944, 0.236286864, 0.552874565,-483.788970947,-316.458709717,-2054.662353516, 0.101510614,-0.124476410, 0.722679496, 0.586402476,-0.344052464,-207.448394775,-162.379989624,-2009.969116211, 0.056767758, 0.040025473, 0.069850855, 0.996485353, 0.023145817,-348.096282959,-401.656372070,-1985.675903320, 0.167148754,
25,-0.493377745, 0.628483951, 0.236327842, 0.552933514,-483.788726807,-316.458709717,-2054.659912109, 0.104168326,-0.124713480, 0.722624362, 0.586334109,-0.344198972,-207.445556641,-162.380706787,-2009.966796875, 0.059126500, 0.040233921, 0.069768213, 0.996478915, 0.023310548,-348.098022461,-401.656311035,-1985.678100586, 0.165518507,
26,-0.493359149, 0.628417253, 0.236396268, 0.552996695,-483.786010742,-316.459503174,-2054.662353516, 0.103744999,-0.124716297, 0.722697318, 0.586341560,-0.344031900,-207.441940308,-162.384552002,-2009.961303711, 0.058364347, 0.040415589, 0.069708668, 0.996479392, 0.023153536,-348.096588135,-401.657348633,-1985.675415039, 0.165299311,
27,-0.493531585, 0.628353655, 0.236327201, 0.552944601,-483.790435791,-316.457092285,-2054.667480469, 0.104841858,-0.124666497, 0.722689211, 0.586346567,-0.344058543,-207.439224243,-162.385345459,-2009.954345703, 0.057627581, 0.040353503, 0.069758967, 0.996478021, 0.023168163,-348.095977783,-401.655792236,-1985.674194336, 0.166291311,
28,-0.493831158, 0.628260076, 0.236141652, 0.552862704,-483.788665771,-316.458099365,-2054.658447266, 0.103654400,-0.124698810, 0.722771466, 0.586340487,-0.343884319,-207.434066772,-162.388565063,-2009.952026367, 0.057448912, 0.040382188, 0.069743760, 0.996476352, 0.023238061,-348.096405029,-401.655395508,-1985.677856445, 0.166074261,
29,-0.494121343, 0.628113151, 0.235923097, 0.552863717,-483.781982422,-316.460968018,-2054.634765625, 0.105862722,-0.124693498, 0.722751796, 0.586255372,-0.344072580,-207.429534912,-162.388854980,-2009.944091797, 0.059105530, 0.040618356, 0.069790289, 0.996463537, 0.023235183,-348.095306396,-401.654937744,-1985.672729492, 0.165630981,
30,-0.494303942, 0.627973557, 0.235848039, 0.552891076,-483.784881592,-316.460540771,-2054.632324219, 0.109954000,-0.124602981, 0.722786009, 0.586274862,-0.344000340,-207.425064087,-162.391738892,-2009.941406250, 0.058411680, 0.040604778, 0.069773778, 0.996465623, 0.023218822,-348.094787598,-401.654083252,-1985.669677734, 0.165389523,
31,-0.494448215, 0.627892733, 0.235766262, 0.552888751,-483.785247803,-316.456695557,-2054.635742188, 0.109763891,-0.124627039, 0.722752094, 0.586265981,-0.344078034,-207.420913696,-162.394546509,-2009.937133789, 0.058429338, 0.040352598, 0.069792449, 0.996477485, 0.023094092,-348.093017578,-401.655609131,-1985.670410156, 0.166916370,
32,-0.494550169, 0.627765238, 0.235661045, 0.552987158,-483.780792236,-316.459289551,-2054.617187500, 0.109502703,-0.124671876, 0.722774386, 0.586293995,-0.343967170,-207.416870117,-162.396118164,-2009.932495117, 0.058017869, 0.040352151, 0.069789633, 0.996476769, 0.023134049,-348.093505859,-401.654907227,-1985.671020508, 0.166346580,
33,-0.494613856, 0.627814710, 0.235526681, 0.552931249,-483.776000977,-316.458862305,-2054.644775391, 0.108081818,-0.124773711, 0.722818434, 0.586234391,-0.343939304,-207.412445068,-162.399734497,-2009.930053711, 0.057657965, 0.040439926, 0.069754601, 0.996474087, 0.023201589,-348.095520020,-401.655426025,-1985.675903320, 0.165359512,
34,-0.494710594, 0.627779543, 0.235349670, 0.552960038,-483.772918701,-316.460632324,-2054.626953125, 0.113482796,-0.124700740, 0.722819388, 0.586188614,-0.344041795,-207.409469604,-162.402053833,-2009.930664063, 0.059217252, 0.040199403, 0.069770277, 0.996482313, 0.023219768,-348.094970703,-401.655426025,-1985.676635742, 0.165500641,
35,-0.494747370, 0.627789378, 0.235232428, 0.552965879,-483.773895264,-316.463378906,-2054.620849609, 0.113366559,-0.124636106, 0.722829103, 0.586204290,-0.344018191,-207.406463623,-162.404876709,-2009.931152344, 0.058247920, 0.040051490, 0.069819815, 0.996483743, 0.023263132,-348.096557617,-401.655639648,-1985.679565430, 0.166107491,
36,-0.494694501, 0.627845883, 0.235209674, 0.552958727,-483.774353027,-316.461364746,-2054.620849609, 0.117093809,-0.124802612, 0.722878337, 0.586227536,-0.343814701,-207.400604248,-162.404953003,-2009.932373047, 0.055636097, 0.040142965, 0.069789976, 0.996478796, 0.023407083,-348.097564697,-401.656280518,-1985.677612305, 0.166158065,
37,-0.494572520, 0.627875209, 0.235307291, 0.552992940,-483.776763916,-316.464324951,-2054.620117188, 0.114889190,-0.124792881, 0.722848773, 0.586193442,-0.343938500,-207.394775391,-162.406784058,-2009.929931641, 0.057269458, 0.040276024, 0.069745563, 0.996479630, 0.023275321,-348.097259521,-401.656890869,-1985.672851563, 0.165415436,
38,-0.494364321, 0.627913773, 0.235570997, 0.553023100,-483.782043457,-316.459655762,-2054.635253906, 0.113280147,-0.124906830, 0.722839177, 0.586159885,-0.343974411,-207.389007568,-162.408157349,-2009.928222656, 0.056769557, 0.040168148, 0.069754787, 0.996487200, 0.023110231,-348.098449707,-401.657287598,-1985.670166016, 0.166043982,
