Number of frames: 100
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
1,-0.594178140,-0.135037199, 0.789706230,-0.071283638,-278.218536377,-96.090080261,-1972.413452148, 0.095515810,-0.118597232, 0.718308091, 0.591237068,-0.346997052,-209.341476440,-161.455871582,-2010.694458008, 0.057039361, 0.040073380, 0.069448560, 0.996514201, 0.023032159,-348.081176758,-401.671234131,-1985.549682617, 0.167689592,
2,-0.594486952,-0.135063335, 0.789469004,-0.071286879,-278.185607910,-96.088356018,-1972.403320313, 0.099103354,-0.118683130, 0.718455374, 0.591167033,-0.346781969,-209.316741943,-161.476333618,-2010.648437500, 0.057480346, 0.040114757, 0.069464579, 0.996514916, 0.022879632,-348.080413818,-401.672790527,-1985.554199219, 0.168311939,
3,-0.594823301,-0.135176092, 0.789207220,-0.071166374,-278.156402588,-96.089561462,-1972.374267578, 0.099562459,-0.118219793, 0.718603611, 0.591219127,-0.346544117,-209.276519775,-161.480010986,-2010.581176758, 0.058432788, 0.040303644, 0.069471084, 0.996503472, 0.023027515,-348.081207275,-401.671691895,-1985.555053711, 0.167592168,
4,-0.595071912,-0.135246605, 0.789021313,-0.071014963,-278.120208740,-96.091011047,-1972.350585938, 0.097124144,-0.118138112, 0.718622088, 0.591231883,-0.346511990,-209.221694946,-161.468246460,-2010.515136719, 0.058911733, 0.040076364, 0.069479212, 0.996509671, 0.023128869,-348.080139160,-401.671081543,-1985.552124023, 0.167793930,
5,-0.595223367,-0.135250181, 0.788919091,-0.070874184,-278.070922852,-96.090866089,-1972.320434570, 0.097900361,-0.118197002, 0.718631029, 0.591279626,-0.346391857,-209.167572021,-161.457366943,-2010.483032227, 0.058178473, 0.040139027, 0.069468550, 0.996506810, 0.023176337,-348.081848145,-401.671508789,-1985.554931641, 0.168094516,
6,-0.595329881,-0.135235578, 0.788854063,-0.070731521,-278.014953613,-96.083992004,-1972.278686523, 0.096983947,-0.118313409, 0.718626976, 0.591250718,-0.346409917,-209.123306274,-161.454147339,-2010.491088867, 0.056767624, 0.040262688, 0.069446437, 0.996499181, 0.023354987,-348.081420898,-401.670288086,-1985.554077148, 0.166905716,
7,-0.595302820,-0.135184646, 0.788884342,-0.070719026,-277.947509766,-96.082565308,-1972.254150391, 0.096045598,-0.118597612, 0.718542278, 0.591104329,-0.346738070,-209.098190308,-161.468246460,-2010.533081055, 0.057532243, 0.040095128, 0.069473177, 0.996502280, 0.023431130,-348.081604004,-401.669677734,-1985.552734375, 0.167012990,
8,-0.595226645,-0.135080099, 0.788948953,-0.070838705,-277.868591309,-96.083282471,-1972.231933594, 0.096227244,-0.118969768, 0.718496203, 0.590891778,-0.347068101,-209.090103149,-161.495269775,-2010.580932617, 0.059312712, 0.040257983, 0.069478489, 0.996497214, 0.023352541,-348.082977295,-401.668029785,-1985.553588867, 0.166373014,
9,-0.595202684,-0.134930745, 0.788971484,-0.071074173,-277.790649414,-96.084121704,-1972.210815430, 0.097114667,-0.119491816, 0.718601882, 0.590647340,-0.347086102,-209.087661743,-161.537536621,-2010.605224609, 0.059990756, 0.040331613, 0.069455646, 0.996498704, 0.023231115,-348.081604004,-401.667114258,-1985.551269531, 0.166263342,
10,-0.595369697,-0.134621024, 0.788862050,-0.071475312,-277.734039307,-96.090538025,-1972.145507813, 0.096503146,-0.119933695, 0.718784034, 0.590428412,-0.346929044,-209.076553345,-161.577346802,-2010.589111328, 0.058488254, 0.040259477, 0.069452092, 0.996499717, 0.023321623,-348.081207275,-401.667297363,-1985.547973633, 0.166847423,
11,-0.595609248,-0.134485364, 0.788684249,-0.071697086,-277.676147461,-96.099433899,-1972.092407227, 0.096436970,-0.120262034, 0.719012856, 0.590297699,-0.346563399,-209.039855957,-161.609725952,-2010.515380859, 0.056938652, 0.040442646, 0.069430143, 0.996494889, 0.023275519,-348.079528809,-401.669189453,-1985.550292969, 0.165822461,
12,-0.595827401,-0.134203836, 0.788554132,-0.071843259,-277.629394531,-96.098693848,-1972.051879883, 0.102432638,-0.120135508, 0.719249249, 0.590251505,-0.346195191,-208.984466553,-161.624130249,-2010.408081055, 0.057309344, 0.040396214, 0.069460072, 0.996492147, 0.023384664,-348.079132080,-401.669097900,-1985.551757813, 0.165579766,
13,-0.596069217,-0.134163350, 0.788393855,-0.071671717,-277.587921143,-96.097122192,-1972.014038086, 0.100290887,-0.119946457, 0.719382763, 0.590315402,-0.345874250,-208.914657593,-161.629791260,-2010.297241211, 0.057627924, 0.040129546, 0.069506600, 0.996496856, 0.023503391,-348.079010010,-401.668487549,-1985.552612305, 0.167004973,
14,-0.596229851,-0.134109437, 0.788297653,-0.071494296,-277.549652100,-96.100463867,-1971.975952148, 0.095940612,-0.119634397, 0.719478488, 0.590320289,-0.345774949,-208.840820313,-161.629013062,-2010.219116211, 0.057202071, 0.040151428, 0.069449037, 0.996500850, 0.023469444,-348.077728271,-401.668701172,-1985.552124023, 0.166731596,
15,-0.596342504,-0.134159714, 0.788225830,-0.071252033,-277.510528564,-96.102996826,-1971.940307617, 0.096341401,-0.119472548, 0.719469428, 0.590381801,-0.345744789,-208.779769897,-161.627380371,-2010.198730469, 0.057195820, 0.040291537, 0.069435708, 0.996499121, 0.023338638,-348.077728271,-401.669647217,-1985.549438477, 0.166563198,
