Number of frames: 100
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
1,-0.647699058,-0.035705294, 0.720474303, 0.245209828,-265.624572754,-240.939575195,-2000.509277344, 0.116549611,-0.128560081, 0.722595394, 0.583976269,-0.346842706,-209.412033081,-162.877105713,-2008.001098633, 0.057318285, 0.040148832, 0.069414377, 0.996515155, 0.022963850,-348.082550049,-401.677032471,-1985.554321289, 0.167730317,
2,-0.647699177,-0.035796344, 0.720465600, 0.245221838,-265.629333496,-240.935943604,-2000.520263672, 0.114271462,-0.128516883, 0.722464621, 0.583997548,-0.347095311,-209.427825928,-162.860992432,-2007.993530273, 0.059011631, 0.040345717, 0.069438487, 0.996503472, 0.023050869,-348.082824707,-401.674591064,-1985.552734375, 0.167684451,
3,-0.647754371,-0.035985127, 0.720372438, 0.245321944,-265.626922607,-240.931594849,-2000.510498047, 0.115096711,-0.128300920, 0.722422898, 0.584058166,-0.347160041,-209.445907593,-162.846008301,-2008.009399414, 0.060277786, 0.040599719, 0.069396488, 0.996495306, 0.023083845,-348.084167480,-401.674774170,-1985.550781250, 0.167039558,
4,-0.647746325,-0.036212523, 0.720335782, 0.245417491,-265.625213623,-240.926818848,-2000.534423828, 0.118794300,-0.128243387, 0.722383499, 0.584119022,-0.347160846,-209.471374512,-162.825622559,-2008.047729492, 0.059588119, 0.040654745, 0.069407143, 0.996495128, 0.022962719,-348.083892822,-401.673461914,-1985.549682617, 0.167345554,
5,-0.647745311,-0.036438964, 0.720291674, 0.245516047,-265.616302490,-240.922149658,-2000.564941406, 0.119056374,-0.128123552, 0.722171247, 0.584196627,-0.347515911,-209.495803833,-162.803985596,-2008.100952148, 0.060049154, 0.040387023, 0.069412522, 0.996504128, 0.023028605,-348.083099365,-401.672943115,-1985.550537109, 0.166699499,
6,-0.647745907,-0.036635663, 0.720260143, 0.245577753,-265.604431152,-240.916183472,-2000.594970703, 0.120738573,-0.128131926, 0.721985281, 0.584300995,-0.347723693,-209.516357422,-162.778976440,-2008.163208008, 0.060038302, 0.040337514, 0.069391459, 0.996507347, 0.023039700,-348.082794189,-401.673858643,-1985.551391602, 0.167043731,
7,-0.647667050,-0.036800634, 0.720317423, 0.245593011,-265.580139160,-240.908508301,-2000.645385742, 0.119590476,-0.127978772, 0.721885145, 0.584372878,-0.347867310,-209.528350830,-162.754318237,-2008.213989258, 0.059680723, 0.040342998, 0.069432490, 0.996505082, 0.023005165,-348.084655762,-401.674499512,-1985.552001953, 0.167490304,
8,-0.647710681,-0.036886316, 0.720284164, 0.245562509,-265.549987793,-240.903091431,-2000.632446289, 0.116198994,-0.127819747, 0.721796453, 0.584515631,-0.347869873,-209.525100708,-162.730407715,-2008.239379883, 0.058950961, 0.040473919, 0.069418088, 0.996505260, 0.022809876,-348.084625244,-401.675933838,-1985.555419922, 0.167052135,
9,-0.647527933,-0.036921263, 0.720490277, 0.245434687,-265.504577637,-240.884323120,-2000.693847656, 0.121185623,-0.127546966, 0.721814394, 0.584699631,-0.347623467,-209.509811401,-162.702545166,-2008.231689453, 0.058567066, 0.040622383, 0.069359630, 0.996498227, 0.023029990,-348.084350586,-401.675384521,-1985.557128906, 0.166802689,
10,-0.647476614,-0.036938276, 0.720596373, 0.245255962,-265.464599609,-240.882751465,-2000.702880859, 0.119479723,-0.127235010, 0.721959174, 0.584918439,-0.347068638,-209.489288330,-162.677673340,-2008.199096680, 0.056704313, 0.040298630, 0.069423325, 0.996499419, 0.023352431,-348.084533691,-401.676025391,-1985.559082031, 0.166708037,
11,-0.647450984,-0.036918782, 0.720693052, 0.245042279,-265.428131104,-240.877868652,-2000.709228516, 0.115088925,-0.126783371, 0.722101092, 0.585100353,-0.346631795,-209.466384888,-162.654541016,-2008.153442383, 0.056525279, 0.040138647, 0.069461435, 0.996502817, 0.023369642,-348.083770752,-401.675323486,-1985.557250977, 0.166260228,
12,-0.647439539,-0.036925990, 0.720754564, 0.244890571,-265.390075684,-240.870025635,-2000.713500977, 0.115171149,-0.126398534, 0.722109020, 0.585214257,-0.346563518,-209.444671631,-162.634078979,-2008.115600586, 0.058331680, 0.040457252, 0.069452584, 0.996490002, 0.023393145,-348.083007813,-401.674377441,-1985.553833008, 0.165064305,
13,-0.647491395,-0.037114337, 0.720699310, 0.244887561,-265.357177734,-240.865325928,-2000.695800781, 0.113220274,-0.126135036, 0.722126186, 0.585304260,-0.346471757,-209.425537109,-162.615447998,-2008.092773438, 0.059349518, 0.040444031, 0.069429249, 0.996492386, 0.023384407,-348.081848145,-401.673553467,-1985.550292969, 0.165753916,
14,-0.647603691,-0.037343416, 0.720574796, 0.244922116,-265.323272705,-240.869857788,-2000.680419922, 0.113636218,-0.125935853, 0.722145975, 0.585450768,-0.346255302,-209.409454346,-162.595672607,-2008.082763672, 0.059462663, 0.040243093, 0.069438733, 0.996503592, 0.023224866,-348.081237793,-401.671295166,-1985.546997070, 0.166720942,
15,-0.647729516,-0.037704881, 0.720375478, 0.245120317,-265.278289795,-240.867935181,-2000.661499023, 0.112851717,-0.125880584, 0.722110093, 0.585572600,-0.346144170,-209.390380859,-162.575454712,-2008.085937500, 0.058938682, 0.040306032, 0.069459751, 0.996500969, 0.023163442,-348.081634521,-401.671203613,-1985.547241211, 0.166397095,
16,-0.647836864,-0.037979770, 0.720218897, 0.245254353,-265.217346191,-240.864776611,-2000.667968750, 0.114965558,-0.125797138, 0.722012460, 0.585656166,-0.346236795,-209.358673096,-162.552047729,-2008.083740234, 0.058983184, 0.040472299, 0.069439143, 0.996494830, 0.023199221,-348.079589844,-401.671417236,-1985.546508789, 0.166860044,
17,-0.647980452,-0.038261734, 0.720003843, 0.245462522,-265.146575928,-240.857299805,-2000.649291992, 0.118814476,-0.125495628, 0.721968889, 0.585813999,-0.346170098,-209.315567017,-162.527801514,-2008.057006836, 0.060094465, 0.040558379, 0.069457822, 0.996485651, 0.023386525,-348.079559326,-401.671386719,-1985.547485352, 0.165772110,
