Number of frames: 100
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
1, 0.034902465, 0.882791936,-0.167705148, 0.437418818,-298.884246826,-243.918090820,-1932.397583008, 0.132249370,-0.125750870, 0.719652474, 0.587436557,-0.348145604,-207.368621826,-161.957244873,-2010.832031250, 0.057410423, 0.040168524, 0.069411382, 0.996511817, 0.023082338,-348.062377930,-401.661682129,-1985.556762695, 0.169310868,
2, 0.035195589, 0.882874846,-0.167438909, 0.437329948,-298.904022217,-243.908645630,-1932.408569336, 0.131821841,-0.125843346, 0.719584048, 0.587423742,-0.348275185,-207.393295288,-161.952590942,-2010.848632813, 0.057728373, 0.040395513, 0.069421500, 0.996504009, 0.022991994,-348.061676025,-401.660430908,-1985.555541992, 0.168461174,
3, 0.035482742, 0.882967889,-0.167235166, 0.437196851,-298.935913086,-243.914916992,-1932.423583984, 0.130744115,-0.125829428, 0.719619870, 0.587468326,-0.348130971,-207.404846191,-161.952316284,-2010.832519531, 0.057658825, 0.040167972, 0.069411568, 0.996509731, 0.023171185,-348.063690186,-401.660797119,-1985.555419922, 0.169883162,
4, 0.035658710, 0.883031189,-0.167187661, 0.437072814,-298.975738525,-243.916656494,-1932.438476563, 0.133406684,-0.125561476, 0.719753921, 0.587477922,-0.347934365,-207.397872925,-161.950378418,-2010.784179688, 0.057028752, 0.040072251, 0.069417961, 0.996511757, 0.023232263,-348.063903809,-401.661590576,-1985.552246094, 0.170127273,
5, 0.035766393, 0.883121133,-0.167208806, 0.436874181,-299.039794922,-243.912933350,-1932.479980469, 0.131983101,-0.125071511, 0.719906747, 0.587572157,-0.347635418,-207.381088257,-161.949691772,-2010.724609375, 0.057894122, 0.040075298, 0.069445543, 0.996509671, 0.023231694,-348.063476563,-401.662292480,-1985.552490234, 0.169519767,
6, 0.035844188, 0.883164346,-0.167261273, 0.436760366,-299.098236084,-243.908111572,-1932.516967773, 0.131203517,-0.124673903, 0.720093369, 0.587650001,-0.347259820,-207.367507935,-161.949020386,-2010.683227539, 0.059071012, 0.040185940, 0.069402725, 0.996508718, 0.023210987,-348.065246582,-401.663909912,-1985.552734375, 0.169790864,
7, 0.035912309, 0.883108795,-0.167350441, 0.436832905,-299.124664307,-243.914794922,-1932.527587891, 0.131702304,-0.124566808, 0.720198333, 0.587717593,-0.346966028,-207.360580444,-161.948745728,-2010.653198242, 0.057601966, 0.040194847, 0.069448873, 0.996502995, 0.023303807,-348.063812256,-401.664642334,-1985.547851563, 0.168097645,
8, 0.035980955, 0.883068264,-0.167417288, 0.436883539,-299.158569336,-243.910781860,-1932.556030273, 0.130863264,-0.124477901, 0.720165312, 0.587739527,-0.347029328,-207.365081787,-161.946334839,-2010.643188477, 0.057862453, 0.040092342, 0.069481239, 0.996502936, 0.023383815,-348.062011719,-401.666107178,-1985.548461914, 0.167111695,
9, 0.036102377, 0.882979214,-0.167420834, 0.437052161,-299.165893555,-243.910751343,-1932.562133789, 0.132646054,-0.124472000, 0.720118165, 0.587687910,-0.347216696,-207.376785278,-161.940109253,-2010.650634766, 0.059106342, 0.040249895, 0.069447286, 0.996502757, 0.023222253,-348.060668945,-401.667266846,-1985.549682617, 0.168013781,
10, 0.036309700, 0.882917941,-0.167367876, 0.437179029,-299.179687500,-243.915435791,-1932.574584961, 0.133636728,-0.124470092, 0.720082104, 0.587738931,-0.347205848,-207.393737793,-161.932800293,-2010.661499023, 0.058481257, 0.040359903, 0.069463827, 0.996494591, 0.023332212,-348.060516357,-401.666442871,-1985.547119141, 0.167761296,
